fullName,parkCode,states,latitude,longitude,description_length,num_activities
Manassas National Battlefield Park,mana,VA,38.81710063,-77.5353468,325,9
Manhattan Project National Historical Park,mapr,"NM,WA,TN",35.88096,-106.30214,387,4
Manzanar National Historic Site,manz,CA,36.72559195,-118.1547177,348,15
Marsh - Billings - Rockefeller National Historical Park,mabi,VT,43.63348732,-72.53424638,366,26
"Martin Luther King, Jr. Memorial",mlkm,DC,38.8862276865,-77.0442195534,302,6
"Martin Luther King, Jr. National Historical Park",malu,GA,33.75618241,-84.37256768,395,6
Martin Van Buren National Historic Site,mava,NY,42.36819596,-73.70834257,390,12
Mary McLeod Bethune Council House National Historic Site,mamc,DC,38.90819107,-77.03096742,397,7
Medgar and Myrlie Evers Home National Monument,memy,MS,32.34096274,-90.21264553,393,0
Mesa Verde National Park,meve,CO,37.23908345,-108.4624032,397,20
Mill Springs Battlefield National Monument,misp,KY,37.0688158602,-84.7375361304,231,5
Minidoka National Historic Site,miin,"ID,WA",42.678,-114.2465,394,4
Minute Man National Historical Park,mima,MA,42.4562778,-71.30738884,269,8
Minuteman Missile National Historic Site,mimi,SD,43.89558013,-102.0272131,390,6
Mississippi National River & Recreation Area,miss,MN,44.942487,-93.098712,353,26
Missouri National Recreational River,mnrr,"SD,NE",42.7882189,-97.59077822,354,44
Mojave National Preserve,moja,CA,35.12485941,-115.5168258,388,32
Monocacy National Battlefield,mono,MD,39.36084236,-77.39637677,387,18
Montezuma Castle National Monument,moca,AZ,34.62237771,-111.8147857,301,14
Moores Creek National Battlefield,mocr,NC,34.45820776,-78.11031134,384,14
Mormon Pioneer National Historic Trail,mopi,"IL,IA,NE,UT,WY",41.2650321741,-101.84083756,188,9
Morristown National Historical Park,morr,NJ,40.7650755,-74.53455122,385,20
Mount Rainier National Park,mora,WA,46.86075416,-121.7043885,399,36
Mount Rushmore National Memorial,moru,SD,43.88037021,-103.4525186,398,10
Muir Woods National Monument,muwo,CA,37.89658027,-122.5808047,343,9
Natchez National Historical Park,natc,MS,31.54697621,-91.39040665,201,7
Natchez Trace National Scenic Trail,natt,"AL,MS,TN",34.330290333,-88.7100104094,299,3
Natchez Trace Parkway,natr,"AL,MS,TN",33.78002293,-89.03092439,388,29
National Capital Parks-East,nace,DC,38.8659,-76.994,379,1
National Mall and Memorial Parks,nama,DC,38.8899,-77.026,387,18
National Park of American Samoa,npsa,AS,-14.22865935,-169.8503777,295,21
National Parks of New York Harbor,npnh,NY,40.6632,-74.0451,389,37
Natural Bridges National Monument,nabr,UT,37.6045329,-110.0022436,373,8
Navajo National Monument,nava,AZ,36.71755643,-110.5504015,383,13
